Czechia,South Korea,South Africa,Mexico,Bósnia,Canadá,Catar,Suíça,Brasil,Marrocos,Haiti,Escócia,Estados Unidos,Paraguai,Austrália,Turquia,Alemanha,Curaçao,Costa do Marfim,Equador,Holanda,Japão,Suécia,Tunisia,Bélgica,Egito,Irão,Nova Zelândia,Espanha,Cabo Verde,Arábia Saudita,Uruguai,França,Senegal,Iraque,Noruega,Argentina,Argélia,Áustria,Jordânia,Portugal,Congo,Uzbequistão,Colombia,Inglaterra,Croácia,Gana,Panamá
Matej Kovar (GR),Kim Seung-gyu (GR),Ronwen Williams (GR),Raul Rangel (GR),Nikola Vasilj (GR),Dayne St. Clair (GR),Mahmoud Abunada (GR),Gregor Kobel (GR),Alisson (GR),Yassine Bounou (GR),Johny Placide (GR),Angus Gunn (GR),Matt Turner (GR),Roberto Junior Fernandez (GR),Mathew Ryan (GR),Mert Gunok (GR),Manuel Neuer (GR),Eloy Room (GR),Yahia Fofana (GR),Hernan Galindez (GR),Bart Verbruggen (GR),Zion Sukuzi (GR),Jacob Widell Zetterstrom (GR),Mouhib Chamakh (GR),Thibaut Courtois (GR),Mohamed El-Shenawy (GR),Alireza Beiranvand (GR),Max Crocombe (GR),David Raya (GR),Josimar 'Vozinha' Dias (GR),Nawaf Al-Aqidi (GR),Sergio Rochet (GR),Brice Samba (GR),Yehvann Diouf (GR),Fahad Talib (GR),Orjan Haskjold Nyland (GR),Juan Musso (GR),Melvin Mastil (GR),Alexander Schlager (GR),Yazeed Abulaila (GR),Diogo Costa (GR),Lionel Mpasi (GR),Utkir Yusupov (GR),David Ospina (GR),Jordan Pickford (GR),Dominik Livakovic (GR),Lawrence Ati-Zigi (GR),Luis Mejia (GR)
Jindrich Stanek (GR),Song Bum-keun (GR),Sipho Chaine (GR),Carlos Aceved (GR),Mladen Jurkas (GR),Maxime Crepeau (GR),Salah Zakaria (GR),Yvon Mvogo (GR),Weverton (GR),Munir El Kajoui (GR),Alexandre Pierre (GR),Liam Kelly (GR),Matt Freese (GR) ,Orlando Gill (GR),Paul Izzo (GR),Altay Bayindir (GR),Oliver Baumann (GR),Tyrick Bodak (GR),Mohamed Koné (GR),Moises Ramirez (GR),Robin Roefs (GR),Keisuke Osako (GR),Viktor Johansson (GR),Aymen Dahmen (GR),Senne Lammens (GR),EL Mahdy Soliman (GR),Payam Niazmand (GR),Alex Paulsen (GR),Joan Garcia (GR),Marcio da Rosa (GR),Mohammed Al-Owais (GR),Santiago Mele (GR),Mike Maignan (GR),Edouard Mendy (GR),Jalal Hassan (GR),Sander Tangvik (GR),Geronimo Rulli (GR),Oussama Benbot (GR),Florian Wiegele (GR),Nour Bani Attiah (GR),José Sá (GR),Timothy Fayulu (GR),Abduvokhid Nematov (GR),Camilo Vargas (GR),Dean Henderson (GR),Ivor Pandur (GR),Joseph Anang (GR),Cesar Samudio (GR)
Lukas Hornicek (GR),Jo Hyeon-woo (GR),Ricardo Goss (GR),Guillermo Ochoa (GR),Martin Zlomislic (GR),Owen Goodman (GR),Meshaal Barsham (GR),Marvin Keller (GR),Ederson (GR),Ahmed Reda Tagnaouti (GR),Josué Duverger (GR),Craig Gordon (GR),Chris Brady (GR),Gaston Oliveira (GR),Patrick Beach (GR),Ugurcan Cakir (GR),Alexander Nubel (GR),Trevor Doornbusch (GR),Alban Lafont (GR),Gonzalo Valle (GR),Mark Flekken (GR),Tomoki Hayakawa (GR),Kristoffer Nordfeldt (GR),Sabri Ben Hessen (GR),Mike Penders (GR),Mostafa 'Oufa' Shobeir (GR),Seyed Hossein Hosseini (GR),Michael Woud (GR),Unai Simon (GR),Carlos 'CJ' Dos Santos (GR),Ahmed Al-Kassar (GR),Fernando Muslera (GR),Robin Risser (GR),Mory Diaw (GR),Ahmed Basil (GR),Egil Selvik (GR),Emiliano Martinez (GR),Luca Zidane (GR),Patrick Pentz (GR),Abdallah Al Fakhouri (GR),Rui Silva (GR),Matthieu Epolo (GR),Botirali Ergashev (GR),Alvaro Montero (GR),James Trafford (GR),Dominik Kotarski (GR),Benjamin Asare (GR),Orlando Mosquera (GR)
David Zima (DEF),Lee Han-beom (DEF),Thabang Matuludi (DEF),Jorge Sánchez (DEF),Nihad Mujakic (DEF),Alistair Johnston (DEF),Pedro Miguel (DEF),Miro Muheim (DEF),Gabriel Magalhães (DEF),Achraf Hakimi (DEF),Carlens Arcus (DEF),Aaron Hickey (DEF),Sergino Dest (DEF),Gustavo Velazquez (DEF),Milos Degenek (DEF),Zeki Celik (DEF),Antonio Rudiger (DEF),Shurandy Sambo (DEF),Ousmane Diomande (DEF),Felix Torres (DEF),Jurrien Timber (DEF),Yukinari Sugawara (DEF),Gustaf Lagerbielke (DEF),Ali Abdi (DEF),Zeno Debast (DEF),Mohamed Alaa (GR),Saleh Hardani (DEF),Tim Payne (DEF),Marc Pubill (DEF),Ianique 'Stopira' Tavares (DEF),Ali Majrashi (DEF),Jose Maria Gimenez (DEF),Malo Gusto (DEF),Mamadou Sarr (DEF),Rebin Sulaka (DEF),Kristoffer Ajer (DEF),Leonardo Balerdi (DEF),Aissa Mandi (DEF),David Affengruber (DEF),Mohammad Abu Hasish (DEF),Nélson Semedo (DEF),Aaron Wan-Bissaka (DEF),Abdukodir Khusanov (DEF),Daniel Munoz (DEF),Ezri Konsa (DEF),Josip Stanisic (DEF),Alidu Seidu (DEF),Cesar Blackman (DEF)
Tomas Holes (DEF),Lee Ki-hyuk (DEF),Khulumani Ndamane (DEF),César Montes (DEF),Dennis Hadzikadunic (DEF),Alfie Jones (DEF),Lucas Mendes (DEF),Silvan Widmer (DEF),Marquinhos (DEF),Noussair Mazraoui (DEF),Keeto Thermoncy (DEF),Andy Robertson (DEF),Chris Richards (DEF),Omar Alderete (DEF),Alessandro Circati (DEF),Merih Demiral (DEF),Waldemar Anton (DEF),Jurien Gaari (DEF),Ghislain Konan (DEF),Piero Hincapie (DEF),Virgil Van Dijk (DEF),Shogo Taniguchi (DEF),Victor Lindelof (DEF),Montassar Talbi (DEF),Arthur Theate (DEF),Yasser Ibrahim (DEF),Ehsan Hajsafi (DEF),Francis de Vries (DEF),Alex Grimaldo (DEF),Diney' Borges (DEF),Ali Lajami (DEF),Sebastian Caceres (DEF),Lucas Digne (DEF),Kalidou Koulibaly (DEF),Hussein Ali (DEF),Leo Ostigard (DEF),Nicolas Tagliafico (DEF),Achraf Abada (DEF),Kevin Danso (DEF),Abdallah Nasib (DEF),Rúben Dias (DEF),Steve Kapuadi (DEF),Khojikbar Alijonov (DEF),Jhon Lucumi (DEF),Nico O'Reilly (DEF),Marin Pongracic (DEF),Jonas Adjetey (DEF),Jose Cordoba (DEF)
Robin Hranac (DEF),Kim Min-jae (DEF),Mbekezeli Mbokazi (DEF),Johan Vasquez (DEF),Tarik Muharemovic (DEF),Luc De Fougerolles (DEF),Issa Laye (DEF),Nico Elvedi (DEF),Alex Sandro (DEF),Nayef Aguerd (DEF),Ricardo Adé (DEF),Grant Hanley (DEF),Antonee Robinson (DEF),Juan Jose Caceres (DEF),Jacob Italiano (DEF),Caglar Soyuncu (DEF),Jonathan Tah (DEF),Roshon van Eijma (DEF),Wilfried Singo (DEF),Joel Ordonez (DEF),Nathan Ake (DEF),Ko Itakura (DEF),Isak Hien (DEF),Omar Rekik (DEF),Brandon Mechele (DEF),Mohamed Hany (DEF),Shoja Khalilzadeh (DEF),Tyler Bindon (DEF),Eric Garcia (DEF),Roberto 'Pico' Lopes (DEF),Abdulelah Al-Amri (DEF),Ronald Araujo (DEF),Dayoy Upamecano (DEF),Abdoulaye Seck (DEF),Zaid Tahseen (DEF),David Moller Wolfe (DEF),Gonzalo Montiel (DEF),Mohamed Tougai (DEF),Stefan Posch (DEF),Husam Abu Dahab (DEF),Tomás Araújo (DEF),Axel Tuanzebe (DEF),Farrukh Sayfiev (DEF),Santiago Arias (DEF),John Stones (DEF),Josko Gvardiol (DEF),Abdul Mumin (DEF),Fidel Escobar (DEF)
Vladimir Coufal (DEF),Kim Tae-hyeon (DEF),Samukele Kabini (DEF),Israel Reyes (DEF),Sead Kolasinac (DEF),Joel Waterman (DEF),Ayoub Alawi (DEF),Manuel Akanji (DEF),Danilo (DEF),Zakaria El Ouahdi (DEF),Hannes Delcroix (DEF),Kieran Tierney (DEF),Auston Trusty (DEF),Fabian Balbuena (DEF),Jordan Bos (DEF),Eren Elmali (DEF),Joshua Kimmich (DEF),Sherel Floranus (DEF),Odilon Kossounou (DEF),Willian Pacho (DEF),Jan Paul van Hecke (DEF),Yuto Nagatomo (DEF),Gabriel Gudmundsson (DEF),Adem Arous (DEF),Maxim De Cuyper (DEF),Hossam Abdelmaguid (DEF),Milad Mohammadi (DEF),Michael Boxall (DEF),Marcos Llorente (DEF),Logan Costa (DEF),Hassan Al-Tambakti (DEF),Guillermo Varela (DEF),Jules Kounde (DEF),Ismail Jakobs (DEF),Akam Hashem (DEF),Frederik Bjorkan (DEF),Lisandro Martinez (DEF),Zineddine Belaid (DEF),David Alaba (DEF),Yazan Al-Arab (DEF),Diogo Dalot (DEF),Dylan Batubinsika (DEF),Rustam Ashurmatov (DEF),Yerry Mina (DEF),Marc Guéhi (DEF),Duje Caleta-Car (DEF),Gideon Mensah (DEF),Edgardo Farina (DEF)
Stepan Chaloupek (DEF),Lee Tae-seok (DEF),Nkosinathi Sibisi (DEF),Mateo Chávez (DEF),Amar Dedic (DEF),Derek Cornelius (DEF),Homam Ahmed (DEF),Ricardo Rodriguez (DEF),Bremer (DEF),Issa Diop (DEF),Martin Experience (DEF),Jack Hendry (DEF),Miles Robinson (DEF),Junior Alonso (DEF),Jason Geria (DEF),Abdulkerim Bardakci (DEF),Nico Schlotterbeck (DEF),Armando Obispo (DEF),Christopher Operi (DEF),Pervis Estupinan (DEF),Micky van de Vem (DEF),Tsuyoshi Watanabe (DEF),Herman Johansson (DEF),Dylan Bronn (DEF),Thomas Meunier (DEF),Ramy Rabia (DEF),Hossein Kanaani-Zadegan (DEF),Liberato Cacace (DEF),Pedro Porro (DEF),João Paulo Fernandes (DEF),Saud Abdulhamid (DEF),Mathias Olivera (DEF),Ibrahima Konate (DEF),Krepin Diatta (DEF),Manaf Younis (DEF),Marcus Holmgren Pedersen (DEF),Cristain Romero (DEF),Jaouen Hadjam (DEF),Philipp Lienhart (DEF),Mohammad Abualnadi (DEF),Matheus Nunes (DEF),Joris Kayembe (DEF),Sherzod Nasrullaev (DEF),Johan Mojica (DEF),Tino Livramento (DEF),Josip Sutalo (DEF),Baba Rahman (DEF),Jiovany Ramos (DEF)
Ladislav Krejci (DEF),Cho Wi-je (DEF),Khuliso Mudau (DEF),Jesus Gallardo (DEF),Nikola Katic (DEF),Moise Bombito (DEF),Boualem Khoukhi (DEF),Eray Comert (DEF),Léo Pereira (DEF),Chadi Riad (DEF),Duke Lacroiz (DEF),John Souttar (DEF),Tim Ream (DEF),Jose Canale (DEF),Kai Trewin (DEF),Ozan Kabak (DEF),Nathaniel Brown (DEF),Joshua Barnet (DEF),Guela Doue (DEF),Angelo Preciado (DEF),Denzel Dumfries (DEF),Ayumu Seko (DEF),Daniel Svensson (DEF),Yan Valery (DEF),Koni De Winter (DEF),Mohamed Abdelmonem (DEF),Aria Yousefi (DEF),Nandi Pijnaker (DEF),Aymeric Laporte (DEF),Sidny Lopes Cabral (DEF),Nawaf Boushal (DEF),Matias Vina (DEF),William Saliba (DEF),Moussa Niakhate (DEF),Ahmed Maknzi (DEF),Torbjorn Heggem (DEF),Nicolas Otamendi (DEF),Rayan Ait-Nouri (DEF),Phillipp Mwene (DEF),Salim Obaid (DEF),Renato Veiga (DEF),Aaron Tshibola (DEF),Umar Eshmurodov (DEF),Willer Ditta (DEF),Dan Burn (DEF),Luka Vuskovic (DEF),Jerome Opoku (DEF),Eric Davis (DEF)
David Jurasek (DEF),Kim Moon-hwan (DEF),Ime Okon (DEF),Edson Alvarez (MED),Stjepan Radeljic (DEF),Alphonso Davies (DEF),Sultan Al-Brake (DEF),Aurele Amenda (DEF),Douglas Santos (DEF),Youssef Belammari (DEF),Jean-Kévin Duverne (DEF),Dominic Hyam (DEF),Alex Freeman (DEF),Gustavo Gomez (DEF),Aziz Behich (DEF),Mert Muldur (DEF),David Raum (DEF),Riechedly Bazoer (DEF),Emmanuel Agbadou (DEF),Jackson Porozo (DEF),Jorrel Hato (DEF),Hiroki Ito (DEF),Hjalmar Ekdal (DEF),Mohamed Amine Bem Hmida (DEF),Joaquin Seys (DEF),Ahmed Fatouh (DEF),Ali Nemati (DEF),Finn Surman (DEF),Pau Cubarsi (DEF),Steven Moreira (DEF),Hassan Kadesh (DEF),Joaquin Piquerez (DEF),Theo Hernandez (DEF),Antoine Mendy (DEF),Merchas Doski (DEF),Sondre Langas (DEF),Facundo Medina (DEF),Rafik Belghali (DEF),Alexander Prass (DEF),Saed Al-Rosan (DEF),Gonçalo Inácio (DEF) ,Chancel Mbemba (DEF),Abdulla Abdullaev (DEF),Deiver Machado (DEF),Reece James (DEF),Martin Erlic (DEF),Kojo Peprah Oppong (DEF),Andrés Andrade (DEF)
